,Behavior,Behavior next,Behavioral category,Counts_0,Counts_1,Counts_2,Counts_3,Counts_4,Counts_5,Counts_6,Counts_7,Counts_8,Counts_9,Counts_10,avg,sterr,stderr
0,Border Fight,Chase,Aggressive,7.0,19.0,8.0,6.0,20.0,2.0,1.0,1.0,0.0,0.0,0.0,5.818181818181818,0.0,2.223094411024997
1,Border Fight,Lateral Side Display,Aggressive,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.12196734422726124
2,Border Fight,Lead,Aggressive,1.0,2.0,9.0,3.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,2.727272727272727,0.0,1.293978425356952
3,Border Fight,Scrape,Aggressive,1.0,5.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1818181818181819,0.0,0.5691809397272193
4,Chase,Border Fight,Aggressive,8.0,13.0,9.0,9.0,28.0,2.0,0.0,1.0,0.0,0.0,0.0,6.363636363636363,0.0,2.5911483143148835
5,Chase,Chase,Aggressive,36.0,38.0,18.0,6.0,100.0,3.0,3.0,21.0,115.0,39.0,8.0,35.18181818181818,0.0,11.58119022130924
6,Chase,Dig Substrate,Aggressive,5.0,6.0,3.0,2.0,0.0,1.0,1.0,0.0,12.0,3.0,0.0,3.0,0.0,1.087114613009218
7,Chase,Foraging,Aggressive,12.0,5.0,4.0,13.0,9.0,1.0,0.0,0.0,12.0,34.0,0.0,8.181818181818182,0.0,3.014565193487301
8,Chase,Lateral Side Display,Aggressive,2.0,2.0,3.0,2.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.6363636363636365,0.0,0.43217688450926234
9,Chase,Lead,Aggressive,18.0,10.0,9.0,5.0,47.0,13.0,3.0,4.0,10.0,15.0,2.0,12.363636363636363,0.0,3.7905929669805376
10,Chase,Quiver,Aggressive,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.1818181818181819,0.0,0.22636181087252244
11,Chase,Scrape,Aggressive,17.0,9.0,6.0,4.0,9.0,0.0,1.0,1.0,0.0,0.0,1.0,4.363636363636363,0.0,1.6419097930748332
12,Dig Substrate,Chase,Reproductive,5.0,10.0,0.0,9.0,0.0,0.0,2.0,0.0,8.0,16.0,0.0,4.545454545454546,0.0,1.6589352355358782
13,Dig Substrate,Dig Substrate,Reproductive,38.0,120.0,11.0,86.0,0.0,5.0,69.0,0.0,82.0,109.0,0.0,47.27272727272727,0.0,14.196728758344879
14,Dig Substrate,Foraging,Reproductive,7.0,16.0,3.0,8.0,0.0,1.0,4.0,0.0,9.0,12.0,0.0,5.454545454545454,0.0,1.6313053131751238
15,Dig Substrate,Lead,Reproductive,11.0,6.0,3.0,10.0,0.0,2.0,21.0,0.0,2.0,6.0,0.0,5.545454545454546,0.0,1.9370250684238648
16,Foraging,Chase,Reproductive,7.0,4.0,4.0,8.0,9.0,0.0,0.0,0.0,12.0,25.0,0.0,6.2727272727272725,0.0,2.260695424344662
17,Foraging,Dig Substrate,Reproductive,8.0,18.0,1.0,15.0,0.0,1.0,8.0,0.0,7.0,25.0,0.0,7.545454545454546,0.0,2.5703329687509227
18,Foraging,Foraging,Reproductive,84.0,25.0,12.0,137.0,8.0,11.0,11.0,0.0,23.0,183.0,0.0,44.90909090909091,0.0,18.764790309830293
19,Foraging,Lead,Reproductive,10.0,2.0,4.0,30.0,10.0,10.0,5.0,1.0,7.0,11.0,0.0,8.181818181818182,0.0,2.485661360019545
20,Foraging,Pot,Reproductive,2.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,1.2727272727272727,0.0,0.33278191304951144
21,Foraging,Scrape,Reproductive,9.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2727272727272727,0.0,0.8212065302280884
22,Lateral Side Display,Chase,Aggressive,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.3567530340063379
23,Lateral Side Display,Lead,Aggressive,2.0,0.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.40451991747794525
24,Lead,Border Fight,Reproductive,1.0,5.0,8.0,2.0,8.0,4.0,0.0,2.0,0.0,0.0,0.0,2.727272727272727,0.0,0.935082972409003
25,Lead,Chase,Reproductive,30.0,4.0,17.0,12.0,48.0,18.0,2.0,4.0,11.0,7.0,0.0,13.909090909090908,0.0,4.305291765964608
26,Lead,Dig Substrate,Reproductive,5.0,9.0,1.0,9.0,0.0,0.0,17.0,0.0,1.0,7.0,0.0,4.454545454545454,0.0,1.675294472696646
27,Lead,Foraging,Reproductive,11.0,2.0,3.0,29.0,7.0,9.0,7.0,2.0,8.0,19.0,0.0,8.818181818181818,0.0,2.5719401301464715
28,Lead,Lead,Reproductive,18.0,13.0,15.0,53.0,86.0,105.0,44.0,62.0,12.0,32.0,16.0,41.45454545454545,0.0,9.652473669162962
29,Lead,Pot,Reproductive,2.0,1.0,3.0,0.0,12.0,8.0,3.0,5.0,1.0,0.0,0.0,3.1818181818181817,0.0,1.1506376241670357
30,Lead,Quiver,Reproductive,3.0,1.0,7.0,11.0,4.0,9.0,15.0,3.0,0.0,8.0,8.0,6.2727272727272725,0.0,1.3690800434193964
31,Lead,Scrape,Reproductive,1.0,1.0,1.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0909090909090908,0.0,0.36815375875121065
32,Pot,Chase,Reproductive,2.0,1.0,5.0,0.0,16.0,0.0,0.0,2.0,9.0,1.0,1.0,3.3636363636363638,0.0,1.5031647056232411
33,Pot,Dig Substrate,Reproductive,1.0,3.0,3.0,0.0,1.0,1.0,10.0,0.0,4.0,0.0,0.0,2.090909090909091,0.0,0.8990352956418993
34,Pot,Lead,Reproductive,2.0,0.0,3.0,0.0,3.0,14.0,3.0,5.0,2.0,0.0,4.0,3.272727272727273,0.0,1.1839142251708876
35,Pot,Pot,Reproductive,1.0,0.0,12.0,0.0,11.0,11.0,10.0,8.0,11.0,0.0,3.0,6.090909090909091,0.0,1.5751164196773488
36,Pot,Pot Dig,Reproductive,4.0,4.0,23.0,0.0,8.0,24.0,26.0,5.0,0.0,0.0,2.0,8.727272727272727,0.0,3.1162066365459293
37,Pot Dig,Pot,Reproductive,4.0,5.0,22.0,1.0,7.0,24.0,24.0,5.0,0.0,0.0,2.0,8.545454545454545,0.0,2.9429843738615724
38,Pot Dig,Pot Dig,Reproductive,8.0,14.0,25.0,8.0,0.0,26.0,3.0,4.0,0.0,0.0,2.0,8.181818181818182,0.0,2.8882778191044194
39,Quiver,Lead,Reproductive,5.0,0.0,5.0,13.0,4.0,8.0,15.0,4.0,0.0,10.0,2.0,6.0,0.0,1.5015143870590966
40,Quiver,Quiver,Reproductive,1.0,0.0,0.0,3.0,1.0,1.0,6.0,0.0,0.0,4.0,2.0,1.6363636363636365,0.0,0.5919571125854438
41,Scrape,Border Fight,Reproductive,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.42833523597780887
42,Scrape,Chase,Reproductive,10.0,6.0,3.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,2.6363636363636362,0.0,1.0024762728792889
43,Scrape,Dig Substrate,Reproductive,4.0,4.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.2727272727272727,0.0,0.6043916414034423
44,Scrape,Foraging,Reproductive,6.0,0.0,2.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.7272727272727273,0.0,0.7396671129748359
45,Scrape,Lateral Side Display,Reproductive,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.12196734422726124
46,Scrape,Lead,Reproductive,4.0,3.0,3.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.7272727272727273,0.0,0.46886534393555
47,Scrape,Pot,Reproductive,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.14083575804390605
48,Scrape,Quiver,Reproductive,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.12196734422726124
49,Scrape,Scrape,Reproductive,4.0,1.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.8181818181818181,0.0,1.1741006757063956
50,Border Fight,Border Fight,Aggressive,0.0,1.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6605782590758164
51,Border Fight,Dig Substrate,Aggressive,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.14083575804390605
52,Border Fight,Foraging,Aggressive,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.3835458747223452
53,Border Fight,Quiver,Aggressive,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.19497827808661108
54,Dig Substrate,Border Fight,Reproductive,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.3636363636363636
55,Dig Substrate,Pot,Reproductive,0.0,1.0,2.0,0.0,1.0,0.0,11.0,0.0,5.0,1.0,0.0,1.9090909090909092,0.0,1.0131368520549116
56,Dig Substrate,Quiver,Reproductive,0.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0909090909090908,0.0,0.5126498974498794
57,Dig Substrate,Scrape,Reproductive,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.24729946379518986
58,Lateral Side Display,Border Fight,Aggressive,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.20730462274529782
59,Pot,Foraging,Reproductive,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.6363636363636364,0.0,0.20327890704543541
60,Quiver,Border Fight,Reproductive,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.3659020326817838
61,Quiver,Chase,Reproductive,0.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,5.0,4.0,1.5454545454545454,0.0,0.49292515315367125
62,Quiver,Dig Substrate,Reproductive,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.7272727272727273,0.0,0.33278191304951144
63,Quiver,Foraging,Reproductive,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,6.0,0.0,1.0909090909090908,0.0,0.5633430321756243
64,Border Fight,Pot,Aggressive,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.31228298249668485
65,Chase,Pot,Aggressive,0.0,0.0,4.0,0.0,6.0,3.0,0.0,3.0,7.0,1.0,1.0,2.272727272727273,0.0,0.7638527831854547
66,Foraging,Border Fight,Reproductive,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.2816715160878121
67,Foraging,Lateral Side Display,Reproductive,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.12196734422726124
68,Lead,Lateral Side Display,Reproductive,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.12196734422726124
69,Pot Dig,Lead,Reproductive,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.12196734422726124
70,Quiver,Lateral Side Display,Reproductive,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0909090909090909
71,Dig Substrate,Lateral Side Display,Reproductive,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0909090909090909
72,Foraging,Quiver,Reproductive,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,10.0,0.0,1.3636363636363635,0.0,0.8870044303745797
73,Lateral Side Display,Scrape,Aggressive,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.1818181818181818
74,Pot,Quiver,Reproductive,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.6363636363636364,0.0,0.30962520665320736
75,Quiver,Pot Dig,Reproductive,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0909090909090909
76,Pot,Lateral Side Display,Reproductive,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0909090909090909
77,Quiver,Pot,Reproductive,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0,0.8181818181818182,0.0,0.5012381364396443
78,Pot Dig,Dig Substrate,Reproductive,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.1818181818181818
79,Quiver,Scrape,Reproductive,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0909090909090909
80,Dig Pot,Dig Pot,Reproductive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.18181818181818182,0.0,0.12196734422726126
81,Dig Pot,Pot,Reproductive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,2.272727272727273,0.0,2.174609302802393
82,Pot,Dig Pot,Reproductive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,2.3636363636363638,0.0,2.1711862165131897
83,Dig Pot,Chase,Reproductive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09090909090909091,0.0,0.09090909090909091
