,Behavior,Behavior next,Behavioral category,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_0,avg,sterr,stderr
0,Border Fight,Chase,Aggressive,0.016470588235294122,0.04523809523809524,0.026143790849673203,0.010714285714285714,0.03773584905660377,0.006134969325153374,0.0028011204481792717,0.006329113924050633,0.0,0.0,0.0,0.012926030848202265,0.0,0.004179318807887711
1,Border Fight,Lateral Side Display,Aggressive,0.0023529411764705885,0.0,0.0,0.0017857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004993535875888818,0.0,0.00026578183890818726
2,Border Fight,Lead,Aggressive,0.0023529411764705885,0.004761904761904762,0.029411764705882353,0.005357142857142857,0.024528301886792454,0.003067484662576687,0.0,0.006329113924050633,0.0,0.0,0.0,0.006012430396253148,0.0,0.0026658607021484418
3,Border Fight,Scrape,Aggressive,0.0023529411764705885,0.011904761904761904,0.0,0.007142857142857143,0.005660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0022626060583885222,0.0,0.0010417695746863383
4,Chase,Border Fight,Aggressive,0.018823529411764708,0.030952380952380953,0.029411764705882353,0.01607142857142857,0.052830188679245285,0.006134969325153374,0.0,0.006329113924050633,0.0,0.0,0.0,0.013798223460128508,0.0,0.0045175476060229725
5,Chase,Chase,Aggressive,0.08470588235294119,0.09047619047619047,0.058823529411764705,0.010714285714285714,0.18867924528301888,0.009202453987730062,0.008403361344537815,0.13291139240506328,0.27058823529411763,0.0642504118616145,0.11594202898550726,0.09502653295809385,0.0,0.020626779048875214
6,Chase,Dig Substrate,Aggressive,0.011764705882352943,0.014285714285714285,0.00980392156862745,0.0035714285714285713,0.0,0.003067484662576687,0.0028011204481792717,0.0,0.02823529411764706,0.004942339373970346,0.0,0.006941285753296119,0.0,0.002267843335209218
7,Chase,Foraging,Aggressive,0.028235294117647063,0.011904761904761904,0.013071895424836602,0.023214285714285715,0.016981132075471698,0.003067484662576687,0.0,0.0,0.02823529411764706,0.05601317957166392,0.0,0.01607374013127213,0.0,0.004613035029013358
8,Chase,Lateral Side Display,Aggressive,0.004705882352941177,0.004761904761904762,0.00980392156862745,0.0035714285714285713,0.009433962264150943,0.0,0.0,0.006329113924050633,0.002352941176470588,0.0016474464579901153,0.014492753623188408,0.005869076205914018,0.0,0.0013526498380590079
9,Chase,Lead,Aggressive,0.04235294117647059,0.023809523809523808,0.029411764705882353,0.008928571428571428,0.08867924528301886,0.03987730061349693,0.008403361344537815,0.02531645569620253,0.023529411764705882,0.02471169686985173,0.028985507246376815,0.03194955602780663,0.0,0.0055697855760003965
10,Chase,Quiver,Aggressive,0.0023529411764705885,0.002380952380952381,0.006535947712418301,0.0035714285714285713,0.0018867924528301887,0.006134969325153374,0.0028011204481792717,0.0,0.0,0.0032948929159802307,0.014492753623188408,0.004638268723558486,0.0,0.00132171115779491
11,Chase,Scrape,Aggressive,0.04000000000000001,0.02142857142857143,0.0196078431372549,0.007142857142857143,0.016981132075471698,0.0,0.0028011204481792717,0.006329113924050633,0.0,0.0,0.014492753623188408,0.014098165030981685,0.0,0.0038122246605541725
12,Dig Substrate,Chase,Reproductive,0.011764705882352943,0.023809523809523808,0.0,0.01607142857142857,0.0,0.0,0.0056022408963585435,0.0,0.018823529411764704,0.026359143327841845,0.0,0.00878425213704795,0.0,0.002749586840781084
13,Dig Substrate,Dig Substrate,Reproductive,0.08941176470588237,0.2857142857142857,0.03594771241830065,0.15357142857142858,0.0,0.015337423312883436,0.19327731092436976,0.0,0.19294117647058823,0.17957166392092258,0.0,0.0950141946726572,0.0,0.02681866626194357
14,Dig Substrate,Foraging,Reproductive,0.016470588235294122,0.0380952380952381,0.00980392156862745,0.014285714285714285,0.0,0.003067484662576687,0.011204481792717087,0.0,0.021176470588235293,0.019769357495881382,0.0,0.01156491115073681,0.0,0.00313122538651272
15,Dig Substrate,Lead,Reproductive,0.025882352941176474,0.014285714285714285,0.00980392156862745,0.017857142857142856,0.0,0.006134969325153374,0.058823529411764705,0.0,0.004705882352941176,0.009884678747940691,0.0,0.013327734187049035,0.0,0.004576553702687777
16,Foraging,Chase,Reproductive,0.016470588235294122,0.009523809523809525,0.013071895424836602,0.014285714285714285,0.016981132075471698,0.0,0.0,0.0,0.02823529411764706,0.04118616144975288,0.0,0.012017321795986175,0.0,0.0035015581317849476
17,Foraging,Dig Substrate,Reproductive,0.018823529411764708,0.04285714285714286,0.0032679738562091504,0.026785714285714284,0.0,0.003067484662576687,0.022408963585434174,0.0,0.01647058823529412,0.04118616144975288,0.0,0.014899314442742582,0.0,0.004286850958208497
18,Foraging,Foraging,Reproductive,0.19764705882352943,0.05952380952380952,0.0392156862745098,0.24464285714285713,0.01509433962264151,0.03374233128834356,0.03081232492997199,0.0,0.05411764705882353,0.3014827018121911,0.0,0.09030198579232361,0.0,0.02921936172301903
19,Foraging,Lead,Reproductive,0.023529411764705885,0.004761904761904762,0.013071895424836602,0.05357142857142857,0.018867924528301886,0.03067484662576687,0.014005602240896359,0.006329113924050633,0.01647058823529412,0.018121911037891267,0.0,0.017148772221521755,0.0,0.0039875711022931415
20,Foraging,Pot,Reproductive,0.004705882352941177,0.002380952380952381,0.006535947712418301,0.0017857142857142857,0.0,0.003067484662576687,0.008403361344537815,0.0,0.007058823529411765,0.0016474464579901153,0.0,0.0030993457753449,0.0,0.0008147546355753943
21,Foraging,Scrape,Reproductive,0.021176470588235297,0.002380952380952381,0.0,0.005357142857142857,0.0018867924528301887,0.0,0.0,0.0,0.0,0.0,0.0,0.003998294528261232,0.0,0.0021587494064697673
22,Lateral Side Display,Chase,Aggressive,0.004705882352941177,0.002380952380952381,0.0032679738562091504,0.0,0.007547169811320755,0.0,0.0,0.0,0.002352941176470588,0.0016474464579901153,0.014492753623188408,0.004276442741169397,0.0,0.0014055424434246699
23,Lateral Side Display,Lead,Aggressive,0.004705882352941177,0.0,0.013071895424836602,0.0035714285714285713,0.0037735849056603774,0.0,0.0,0.006329113924050633,0.0,0.0,0.0,0.0027813682716814263,0.0,0.0010790835159530726
24,Lead,Border Fight,Reproductive,0.0023529411764705885,0.011904761904761904,0.026143790849673203,0.0035714285714285713,0.01509433962264151,0.012269938650306749,0.0,0.012658227848101266,0.0,0.0,0.0,0.00664218229229649,0.0,0.0022844633058323343
25,Lead,Chase,Reproductive,0.07058823529411766,0.009523809523809525,0.05555555555555555,0.02142857142857143,0.09056603773584905,0.05521472392638037,0.0056022408963585435,0.02531645569620253,0.02588235294117647,0.011532125205930808,0.0,0.033984487961389975,0.0,0.008516003365970333
26,Lead,Dig Substrate,Reproductive,0.011764705882352943,0.02142857142857143,0.0032679738562091504,0.01607142857142857,0.0,0.0,0.047619047619047616,0.0,0.002352941176470588,0.011532125205930808,0.0,0.009677038432489543,0.0,0.003749944226334991
27,Lead,Foraging,Reproductive,0.025882352941176474,0.004761904761904762,0.00980392156862745,0.05178571428571429,0.013207547169811321,0.027607361963190184,0.0196078431372549,0.012658227848101266,0.018823529411764704,0.03130148270181219,0.0,0.018563249133118003,0.0,0.003983968215846004
28,Lead,Lead,Reproductive,0.04235294117647059,0.030952380952380953,0.049019607843137254,0.09464285714285714,0.16226415094339622,0.3220858895705521,0.12324929971988796,0.3924050632911392,0.02823529411764706,0.05271828665568369,0.23188405797101452,0.13877283296397325,0.0,0.03358027858054158
29,Lead,Pot,Reproductive,0.004705882352941177,0.002380952380952381,0.00980392156862745,0.0,0.022641509433962263,0.024539877300613498,0.008403361344537815,0.03164556962025317,0.002352941176470588,0.0,0.0,0.008552299810099962,0.0,0.00298250354234342
30,Lead,Quiver,Reproductive,0.007058823529411766,0.002380952380952381,0.02287581699346405,0.019642857142857142,0.007547169811320755,0.027607361963190184,0.04201680672268908,0.0189873417721519,0.0,0.013179571663920923,0.11594202898550726,0.030787660267721888,0.0,0.01094739581277161
31,Lead,Scrape,Reproductive,0.0023529411764705885,0.002380952380952381,0.0032679738562091504,0.0035714285714285713,0.0037735849056603774,0.0,0.011204481792717087,0.006329113924050633,0.0,0.0,0.0,0.0027102629064584133,0.0,0.0008934324721065803
32,Pot,Chase,Reproductive,0.004705882352941177,0.002380952380952381,0.016339869281045753,0.0,0.03018867924528302,0.0,0.0,0.012658227848101266,0.021176470588235293,0.0016474464579901153,0.014492753623188408,0.009445301365682076,0.0,0.002655420768785627
33,Pot,Dig Substrate,Reproductive,0.0023529411764705885,0.007142857142857143,0.00980392156862745,0.0,0.0018867924528301887,0.003067484662576687,0.028011204481792718,0.0,0.009411764705882352,0.0,0.0,0.004925377489808286,0.0,0.0021617550229150987
34,Pot,Lead,Reproductive,0.004705882352941177,0.0,0.00980392156862745,0.0,0.005660377358490566,0.04294478527607362,0.008403361344537815,0.03164556962025317,0.004705882352941176,0.0,0.05797101449275363,0.01757828393940872,0.0,0.006105500913078853
35,Pot,Pot,Reproductive,0.0023529411764705885,0.0,0.0392156862745098,0.0,0.020754716981132074,0.03374233128834356,0.028011204481792718,0.05063291139240506,0.02588235294117647,0.0,0.04347826086956522,0.0223001236501101,0.0,0.005342342976343763
36,Pot,Pot Dig,Reproductive,0.009411764705882354,0.009523809523809525,0.07516339869281045,0.0,0.01509433962264151,0.0736196319018405,0.07282913165266107,0.03164556962025317,0.0,0.0,0.028985507246376815,0.027282340378348813,0.0,0.007956087763642304
37,Pot Dig,Pot,Reproductive,0.009411764705882354,0.011904761904761904,0.0718954248366013,0.0017857142857142857,0.013207547169811321,0.0736196319018405,0.06722689075630252,0.03164556962025317,0.0,0.0,0.028985507246376815,0.026775391106138715,0.0,0.00758141797161051
38,Pot Dig,Pot Dig,Reproductive,0.018823529411764708,0.03333333333333333,0.08169934640522876,0.014285714285714285,0.0,0.07975460122699386,0.008403361344537815,0.02531645569620253,0.0,0.0,0.028985507246376815,0.026031606585253362,0.0,0.0074429033985209956
39,Quiver,Lead,Reproductive,0.011764705882352943,0.0,0.016339869281045753,0.023214285714285715,0.007547169811320755,0.024539877300613498,0.04201680672268908,0.02531645569620253,0.0,0.016474464579901153,0.028985507246376815,0.01822687348950138,0.0,0.0033789437023851406
40,Quiver,Quiver,Reproductive,0.0023529411764705885,0.0,0.0,0.005357142857142857,0.0018867924528301887,0.003067484662576687,0.01680672268907563,0.0,0.0,0.006589785831960461,0.028985507246376815,0.007414217333790817,0.0,0.002935561706001834
41,Scrape,Border Fight,Reproductive,0.0023529411764705885,0.007142857142857143,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014608920491273431,0.0,0.0007397539791868215
42,Scrape,Chase,Reproductive,0.023529411764705885,0.014285714285714285,0.00980392156862745,0.0035714285714285713,0.011320754716981131,0.0,0.0,0.006329113924050633,0.0,0.0,0.014492753623188408,0.009335020295583897,0.0,0.0023692246695748713
43,Scrape,Dig Substrate,Reproductive,0.009411764705882354,0.009523809523809525,0.0032679738562091504,0.0,0.0,0.0,0.014005602240896359,0.0,0.0,0.0,0.0,0.0035093011563599803,0.0,0.001420104264365271
44,Scrape,Foraging,Reproductive,0.014117647058823532,0.0,0.006535947712418301,0.010714285714285714,0.007547169811320755,0.0,0.0028011204481792717,0.0,0.0,0.0,0.0,0.0042949090618347,0.0,0.0015630659502330546
45,Scrape,Lateral Side Display,Reproductive,0.0023529411764705885,0.0,0.0,0.0017857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004993535875888818,0.0,0.00026578183890818726
46,Scrape,Lead,Reproductive,0.009411764705882354,0.007142857142857143,0.00980392156862745,0.005357142857142857,0.005660377358490566,0.0,0.0056022408963585435,0.006329113924050633,0.0,0.0,0.0,0.004516860243022454,0.0,0.0011072465551488502
47,Scrape,Pot,Reproductive,0.0023529411764705885,0.002380952380952381,0.0,0.0,0.0018867924528301887,0.0,0.0,0.0,0.0,0.0,0.0,0.0006902790143633651,0.0,0.0003007179212229461
48,Scrape,Quiver,Reproductive,0.0023529411764705885,0.0,0.0,0.0,0.0018867924528301887,0.0,0.0,0.0,0.0,0.0,0.0,0.000507128831213182,0.0,0.000269011898639465
49,Scrape,Scrape,Reproductive,0.009411764705882354,0.002380952380952381,0.0032679738562091504,0.023214285714285715,0.0,0.0,0.0028011204481792717,0.0,0.0,0.0,0.0,0.0038836816777993253,0.0,0.0018677110807228182
50,Border Fight,Border Fight,Aggressive,0.0,0.002380952380952381,0.02287581699346405,0.0,0.005660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0023782420563774613,0.0,0.0017677367657325856
51,Border Fight,Dig Substrate,Aggressive,0.0,0.002380952380952381,0.0032679738562091504,0.0017857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005718954248366013,0.0,0.00031302418575247424
52,Border Fight,Foraging,Aggressive,0.0,0.002380952380952381,0.0032679738562091504,0.007142857142857143,0.0037735849056603774,0.0,0.0,0.0,0.0,0.0,0.0,0.0012742590988983884,0.0,0.0006227542591857002
53,Border Fight,Quiver,Aggressive,0.0,0.004761904761904762,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.0,0.0,0.0,0.0008531552835350303,0.0,0.0005843638818130836
54,Dig Substrate,Border Fight,Reproductive,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007326007326007327,0.0,0.0007326007326007327
55,Dig Substrate,Pot,Reproductive,0.0,0.002380952380952381,0.006535947712418301,0.0,0.0018867924528301887,0.0,0.03081232492997199,0.0,0.011764705882352941,0.0016474464579901153,0.0,0.004232936139731993,0.0,0.0024146170207830775
56,Dig Substrate,Quiver,Reproductive,0.0,0.009523809523809525,0.0,0.0017857142857142857,0.0,0.0,0.008403361344537815,0.0,0.0,0.006589785831960461,0.0,0.00202328238354016,0.0,0.0009958753130554616
57,Dig Substrate,Scrape,Reproductive,0.0,0.002380952380952381,0.006535947712418301,0.0017857142857142857,0.0,0.0,0.0056022408963585435,0.0,0.0,0.0,0.0,0.0012542196365725778,0.0,0.000633020616046029
58,Lateral Side Display,Border Fight,Aggressive,0.0,0.002380952380952381,0.0032679738562091504,0.0017857142857142857,0.0037735849056603774,0.0,0.0,0.0,0.0,0.0,0.0,0.0008621711868104765,0.0,0.0003931618777974416
59,Pot,Foraging,Reproductive,0.0,0.002380952380952381,0.0,0.0017857142857142857,0.0018867924528301887,0.0,0.0056022408963585435,0.0,0.002352941176470588,0.0016474464579901153,0.0,0.0012043144346397003,0.0,0.0004613133302786325
60,Quiver,Border Fight,Reproductive,0.0,0.009523809523809525,0.0,0.0,0.0018867924528301887,0.0,0.0,0.0,0.0,0.0,0.0,0.0008777386135876702,0.0,0.0007348792315167512
61,Quiver,Chase,Reproductive,0.0,0.002380952380952381,0.006535947712418301,0.0,0.0037735849056603774,0.003067484662576687,0.0028011204481792717,0.006329113924050633,0.0,0.008237232289950576,0.05797101449275363,0.011466728100715038,0.0,0.005773366044703029
62,Quiver,Dig Substrate,Reproductive,0.0,0.004761904761904762,0.0032679738562091504,0.0035714285714285713,0.0,0.0,0.0,0.0,0.0,0.004942339373970346,0.0,0.0012725881971932945,0.0,0.0005632094458260998
63,Quiver,Foraging,Reproductive,0.0,0.002380952380952381,0.0,0.0017857142857142857,0.0,0.003067484662576687,0.008403361344537815,0.0,0.0,0.009884678747940691,0.0,0.0019632454939786043,0.0,0.0009353602090920263
64,Border Fight,Pot,Aggressive,0.0,0.0,0.0032679738562091504,0.0,0.0037735849056603774,0.009202453987730062,0.0,0.0,0.0,0.0,0.0,0.0012495394422768916,0.0,0.0007566255252422696
65,Chase,Pot,Aggressive,0.0,0.0,0.013071895424836602,0.0,0.011320754716981131,0.009202453987730062,0.0,0.0189873417721519,0.01647058823529412,0.0016474464579901153,0.014492753623188408,0.007668152910873905,0.0,0.002078437866158435
66,Foraging,Border Fight,Reproductive,0.0,0.0,0.0032679738562091504,0.005357142857142857,0.0018867924528301887,0.0,0.0,0.0,0.0,0.0,0.0,0.0008086083973986304,0.0,0.00046985131617307895
67,Foraging,Lateral Side Display,Reproductive,0.0,0.0,0.0032679738562091504,0.0,0.0018867924528301887,0.0,0.0,0.0,0.0,0.0,0.0,0.0003965204853107184,0.0,0.00027960214919756326
68,Lead,Lateral Side Display,Reproductive,0.0,0.0,0.0032679738562091504,0.0,0.0018867924528301887,0.0,0.0,0.0,0.0,0.0,0.0,0.0003965204853107184,0.0,0.00027960214919756326
69,Pot Dig,Lead,Reproductive,0.0,0.0,0.0032679738562091504,0.0,0.0018867924528301887,0.0,0.0,0.0,0.0,0.0,0.0,0.0003965204853107184,0.0,0.00027960214919756326
70,Quiver,Lateral Side Display,Reproductive,0.0,0.0,0.0032679738562091504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002513826043237808,0.0,0.0002513826043237808
71,Dig Substrate,Lateral Side Display,Reproductive,0.0,0.0,0.0,0.0017857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013736263736263736,0.0,0.0001373626373626374
72,Foraging,Quiver,Reproductive,0.0,0.0,0.0,0.0035714285714285713,0.0018867924528301887,0.0,0.0028011204481792717,0.006329113924050633,0.0,0.016474464579901153,0.0,0.0023894553827992168,0.0,0.0012944743722915664
73,Lateral Side Display,Scrape,Aggressive,0.0,0.0,0.0,0.0035714285714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002747252747252747,0.0,0.0002747252747252748
74,Pot,Quiver,Reproductive,0.0,0.0,0.0,0.0017857142857142857,0.0018867924528301887,0.0,0.0,0.0189873417721519,0.0,0.0,0.028985507246376815,0.006202374077188461,0.0,0.0031495669166959907
75,Quiver,Pot Dig,Reproductive,0.0,0.0,0.0,0.0017857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013736263736263736,0.0,0.0001373626373626374
76,Pot,Lateral Side Display,Reproductive,0.0,0.0,0.0,0.0,0.0018867924528301887,0.0,0.0,0.0,0.0,0.0,0.0,0.00014513788098693758,0.0,0.00014513788098693758
77,Quiver,Pot,Reproductive,0.0,0.0,0.0,0.0,0.0018867924528301887,0.0,0.0,0.0189873417721519,0.0,0.0,0.07246376811594205,0.012753974650528167,0.0,0.007489926658447752
78,Pot Dig,Dig Substrate,Reproductive,0.0,0.0,0.0,0.0,0.0,0.0,0.0056022408963585435,0.0,0.0,0.0,0.0,0.00043094160741219563,0.0,0.00043094160741219563
79,Quiver,Scrape,Reproductive,0.0,0.0,0.0,0.0,0.0,0.0,0.0028011204481792717,0.0,0.0,0.0,0.0,0.00021547080370609782,0.0,0.00021547080370609782
80,Dig Pot,Dig Pot,Reproductive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002352941176470588,0.0016474464579901153,0.0,0.00030772212572774643,0.0,0.00021212303253342806
81,Dig Pot,Pot,Reproductive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05647058823529412,0.0016474464579901153,0.0,0.004470618053329557,0.0,0.004335170626539024
82,Pot,Dig Pot,Reproductive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05647058823529412,0.0032948929159802307,0.0,0.0045973447039441805,0.0,0.004330142664137614
83,Dig Pot,Chase,Reproductive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016474464579901153,0.0,0.00012672665061462426,0.0,0.00012672665061462426
